Launching child process 0       0:0
Launching child process 1       0:5
Launching child process 2       0:10
Launching child process 3       0:15
Launching child process 4       0:20
Launching child process 5       0:25
Launching child process 6       0:30
Launching child process 7       0:35
Launching child process 8       0:40
Launching child process 9       0:45
Launching child process 10      0:50
Launching child process 11      0:55
Process terminated              0:55
Process terminated              0:55
Launching child process 12      0:60
Process terminated              0:60
Launching child process 13      0:65
Launching child process 14      0:70
Launching child process 15      0:75
Launching child process 16      0:80
Launching child process 17      0:85
Launching child process 18      0:90
Launching child process 19      0:95
Process terminated              0:95
Launching child process 20      0:100
Process terminated              0:100
Process terminated              0:100
Launching child process 21      0:105
Launching child process 22      0:110
Launching child process 23      0:115
Launching child process 24      0:120
Process terminated              0:93295
Launching child process 25      0:93300
Process terminated              0:175405
Launching child process 26      0:175410
Process terminated              0:175410
Launching child process 27      0:175415
Process terminated              0:458560
Launching child process 28      0:458560
Process terminated              0:577860
Launching child process 29      0:577860
Process terminated              0:687090
Launching child process 30      0:687095
Process terminated              0:873225
Launching child process 31      0:873225
Process terminated              0:982245
Launching child process 32      0:982245
Process terminated              0:1163030
Launching child process 33      0:1163030
Process terminated              0:1328895
Launching child process 34      0:1328895
Process terminated              0:1328895
Launching child process 35      0:1328900
Process terminated              0:1537940
Launching child process 36      0:1537940
Process terminated              0:1681825
Launching child process 37      0:1681825
Process terminated              0:1798475
Launching child process 38      0:1798475
Process terminated              0:1999570
Launching child process 39      0:1999575
Process terminated              0:2108275
Launching child process 40      0:2108275
Process terminated              0:2235385
Launching child process 41      0:2235390
Process terminated              0:2465310
Launching child process 42      0:2465310
Process terminated              0:2465310
Launching child process 43      0:2465315
Process terminated              0:2703315
Launching child process 44      0:2703315
Process terminated              0:3003875
Launching child process 45      0:3003875
Process terminated              0:3041290
Launching child process 46      0:3041295
Process terminated              0:3084020
Launching child process 47      0:3084020
Process terminated              0:3426065
Launching child process 48      0:3426070
Process terminated              0:3471230
Launching child process 49      0:3471235
Process terminated              0:3507170
Launching child process 50      0:3507175
Process terminated              0:3753675
Launching child process 51      0:3753675
Process terminated              0:3908255
Launching child process 52      0:3908260
Process terminated              0:3957035
Launching child process 53      0:3957035
Process terminated              0:4165800
Launching child process 54      0:4165805
Process terminated              0:4378565
Launching child process 55      0:4378565
Process terminated              0:4381060
Launching child process 56      0:4381060
Process terminated              0:4582565
Launching child process 57      0:4582570
Process terminated              0:4908830
Launching child process 58      0:4908830
Process terminated              0:4908830
Launching child process 59      0:4908835
Process terminated              0:4971160
Launching child process 60      0:4971160
Process terminated              0:5124980
Launching child process 61      0:5124980
Process terminated              0:5499940
Launching child process 62      0:5499945
Process terminated              0:5499945
Launching child process 63      0:5499950
Process terminated              0:5499950
Launching child process 64      0:5499955
Process terminated              0:5773260
Launching child process 65      0:5773260
Process terminated              0:5932190
Launching child process 66      0:5932190
Process terminated              0:5932190
Launching child process 67      0:5932195
Process terminated              0:6130560
Launching child process 68      0:6130560
Process terminated              0:6289590
Launching child process 69      0:6289590
Process terminated              0:6402875
Launching child process 70      0:6402875
Process terminated              0:6572905
Launching child process 71      0:6572910
Process terminated              0:6874325
Launching child process 72      0:6874325
Process terminated              0:7009040
Process terminated              0:7009040
Launching child process 73      0:7009045
Launching child process 74      0:7009050
Process terminated              0:7245195
Launching child process 75      0:7245195
Process terminated              0:7539495
Process terminated              0:7539495
Launching child process 76      0:7539495
Launching child process 77      0:7539500
Process terminated              0:7591440
Launching child process 78      0:7591445
Process terminated              0:8050950
Process terminated              0:8050950
Launching child process 79      0:8050950
Launching child process 80      0:8050955
Process terminated              0:8190805
Launching child process 81      0:8190805
Process terminated              0:8529215
Launching child process 82      0:8529215
Process terminated              0:8602505
Launching child process 83      0:8602505
Process terminated              0:8764800
Launching child process 84      0:8764800
Process terminated              0:8849065
Launching child process 85      0:8849065
Process terminated              0:8918980
Launching child process 86      0:8918980
Process terminated              0:9347750
Process terminated              0:9347750
Launching child process 87      0:9347750
Launching child process 88      0:9347755
Process terminated              0:9495015
Launching child process 89      0:9495015
Process terminated              0:9679095
Launching child process 90      0:9679100
Process terminated              0:9996770
Launching child process 91      0:9996770
Process terminated              0:9996770
Launching child process 92      0:9996775
Process terminated              0:9996775
Launching child process 93      0:9996780
Process terminated              0:10257800
Launching child process 94      0:10257800
Process terminated              0:10312820
Process terminated              0:10312820
Launching child process 95      0:10312825
Launching child process 96      0:10312830
Process terminated              0:10774100
Process terminated              0:10774100
Launching child process 97      0:10774100
Launching child process 98      0:10774105
Process terminated              0:10973830
Launching child process 99      0:10973835
Process terminated              0:11130475
Process terminated              0:11130475
Launching child process 100     0:11130475
Launching child process 101     0:11130480
Process terminated              0:11570075
Launching child process 102     0:11570080
Process terminated              0:11570080
Process terminated              0:11570080
Launching child process 103     0:11570085
Launching child process 104     0:11570090
Process terminated              0:11971680
Launching child process 105     0:11971680
Process terminated              0:12028155
Launching child process 106     0:12028155
Process terminated              0:12245235
Launching child process 107     0:12245235
Process terminated              0:12429030
Launching child          0:4971160
Launching child process 60      0:4971160
Process terminated              0:5124980
Launching child process 61      0:5124980
Process terminated              0:5499940
Launching child process 62      0:5499945
Process terminated              0:5499945
Launching child process 63      0:5499950
Process terminated              0:5499950
Launching child process 64      0:5499955
Process terminated              0:5773260
Launching child process 65      0:5773260
Process terminated              0:5932190
Launching child process 66      0:5932190
Process terminated              0:5932190
Launching child process 67      0:5932195
Process terminated              0:6130560
Launching child process 68      0:6130560
Process terminated              0:6289590
Launching child process 69      0:6289590
Process terminated              0:6402875
Launching child process 70      0:6402875
Process terminated              0:6572905
Launching child process 71      0:6572910
Process terminated              0:6874325
Launching child process 72      0:6874325
Process terminated              0:7009040
Process terminated              0:7009040
Launching child process 73      0:7009045
Launching child process 74      0:7009050
Process terminated              0:7245195
Launching child process 75      0:7245195
Process terminated              0:7539495
Process terminated              0:7539495
Launching child process 76      0:7539495
Launching child process 77      0:7539500
Process terminated              0:7591440
Launching child process 78      0:7591445
Process terminated              0:8050950
Process terminated              0:8050950
Launching child process 79      0:8050950
Launching child process 80      0:8050955
Process terminated              0:8190805
Launching child process 81      0:8190805
Process terminated              0:8529215
Launching child process 82      0:8529215
Process terminated              0:8602505
Launching child process 83      0:8602505
Process terminated              0:8764800
Launching child process 84      0:8764800
Process terminated              0:8849065
Launching child process 85      0:8849065
Process terminated              0:8918980
Launching child process 86      0:8918980
Process terminated              0:9347750
Process terminated              0:9347750
Launching child process 87      0:9347750
Launching child process 88      0:9347755
Process terminated              0:9495015
Launching child process 89      0:9495015
Process terminated              0:9679095
Launching child process 90      0:9679100
Process terminated              0:9996770
Launching child process 91      0:9996770
Process terminated              0:9996770
Launching child process 92      0:9996775
Process terminated              0:9996775
Launching child process 93      0:9996780
Process terminated              0:10257800
Launching child process 94      0:10257800
Process terminated              0:10312820
Process terminated              0:10312820
Launching child process 95      0:10312825
Launching child process 96      0:10312830
Process terminated              0:10774100
Process terminated              0:10774100
Launching child process 97      0:10774100
Launching child process 98      0:10774105
Process terminated              0:10973830
Launching child process 99      0:10973835
Process terminated              0:11130475
Process terminated              0:11130475
Launching child process 100     0:11130475
Launching child process 101     0:11130480
Process terminated              0:11570075
Launching child process 102     0:11570080
Process terminated              0:11570080
Process terminated              0:11570080
Launching child process 103     0:11570085
Launching child process 104     0:11570090
Process terminated              0:11971680
Launching child process 105     0:11971680
Process terminated              0:12028155
Launching child process 106     0:12028155
Process terminated              0:12245235
Launching child process 107     0:12245235
Process terminated              0:12429030
Launching child process 108     0:12429035
Launching child process 109     0:12429040
Process terminated              0:12835620
Process terminated              0:12835620
Launching child process 110     0:12835620
Launching child process 111     0:12835625
Process terminated              0:12920355
Launching child process 112     0:12920360
Process terminated              0:13165260
Launching child process 113     0:13165265
Process terminated              0:13206160
Launching child process 114     0:13206160
Process terminated              0:13582215
Launching child process 115     0:13582215
Process terminated              0:13582215
Launching child process 116     0:13582220
Process terminated              0:13810060
Launching child process 117     0:13810060
Process terminated              0:13842095
Launching child process 118     0:13842095
Process terminated              0:13933310
Launching child process 119     0:13933310
Process terminated              0:14252650
Launching child process 120     0:14252650
Process terminated              0:14445615
Launching child process 121     0:14445620
Process terminated              0:14445620
Launching child process 122     0:14445625
Process terminated              0:14496245
Launching child process 123     0:14496245
Process terminated              0:14861695
Process terminated              0:14861695
Launching child process 124     0:14861695
Launching child process 125     0:14861700
Process terminated              0:14861700
Launching child process 126     0:14861705
Process terminated              0:15248330
Launching child process 127     0:15248330
Process terminated              0:15280260
Launching child process 128     0:15280265
Process terminated              0:15292460
Launching child process 129     0:15292460
Process terminated              0:15736220
Process terminated              0:15736220
Launching child process 130     0:15736220
Launching child process 131     0:15736225
Process terminated              0:15768320
Process terminated              0:15768320
Process terminated              0:15768320
Process terminated              0:15768320
Process terminated              0:15768320
Process terminated              0:15768320
Process terminated              0:15768320
Process terminated              0:15768320
Process terminated              0:15768320
Process terminated              0:15768320
Process terminated              0:15768320
Process terminated              0:15768320
Process terminated              0:15768320
Launching child process 132     0:15768320
Process terminated              0:15768320
Launching child process 133     0:15768325
Process terminated              0:15768325
Launching child process 134     0:15768330
Launching child process 135     0:15768335
Launching child process 136     0:15768340
Process terminated              0:15768340
Launching child process 137     0:15768345
Launching child process 138     0:15768350
Launching child process 139     0:15768355
Launching child process 140     0:15768360
Process terminated              0:15768360
Launching child process 141     0:15768365
Launching child process 142     0:15768370
Process terminated              0:15768375
Launching child process 143     0:15768375
Launching child process 144     0:15768380
Launching child process 145     0:15768385
Process terminated              0:15768385
Launching child process 146     0:15768390
Launching child process 147     0:15768395
Process terminated              0:15768395
Launching child process 148     0:15768400
Launching child process 149     0:15768405
Launching child process 150     0:15768410
Launching child process 151     0:15768415
Process terminated              0:15768415
Launching child process 152     0:15768420
Process terminated              0:15903715
Launching child process 153     0:15903720
Process terminated              0:15979320
Launching child process 154     0:15979325
Process terminated              0:16140210
Launching child process 155     0:16140215
Process terminated              0:16231735
Launching child process 156     0:16231740
Process terminated              0:16575005
Launching child process 157     0:16575005
Process terminated              0:16575005
Process terminated              0:16575005
Launching child process 158     0:16575010
Launching child process 159     0:16575015
Process terminated              0:17008445
Launching child process 160     0:17008445
Process terminated              0:17084345
Process terminated              0:17084345
Launching child process 161     0:17084350
Launching child process 162     0:17084355
Process terminated              0:17523125
Launching child process 163     0:17523125
Process terminated              0:17582810
Launching child process 164     0:17582815
Process terminated              0:17582815
Launching child process 165     0:17582820
Process terminated              0:17882640
Launching child process 166     0:17882640
Process terminated              0:18122200
Launching child process 167     0:18122200
Process terminated              0:18165695
Launching child process 168     0:18165695
Process terminated              0:18224640
Launching child process 169     0:18224640
Process terminated              0:18643715
Launching child process 170     0:18643720
Process terminated              0:18643720
Launching child process 171     0:18643725
Process terminated              0:18680030
Launching child process 172     0:18680030
Process terminated              0:19172605
Launching child process 173     0:19172605
Process terminated              0:19172605
Launching child process 174     0:19172610
Process terminated              0:19254050
Launching child process 175     0:19254050
Process terminated              0:19344490
Launching child process 176     0:19344495
Process terminated              0:19413260
Launching child process 177     0:19413265
Process terminated              0:19855380
Process terminated              0:19855380
Launching child process 178     0:19855380
Launching child process 179     0:19855385
Process terminated              0:19855385
Launching child process 180     0:19855390
Process terminated              0:20259830
Launching child process 181     0:20259830
Process terminated              0:20259830
Launching child process 182     0:20259835
Process terminated              0:20523155
Launching child process 183     0:20523155
Process terminated              0:20642600
Launching child process 184     0:20642600
Process terminated              0:20733485
Launching child process 185     0:20733485
Process terminated              0:21082460
Launching child process 186     0:21082460
Process terminated              0:21082460
Process terminated              0:21082465
Launching child process 187     0:21082465
Launching child process 188     0:21082470
Process terminated              0:21351810
Launching child process 189     0:21351815
Process terminated              0:21459290
Launching child process 190     0:21459295
Process terminated              0:21459295
